FECHA,DEPARTAMENTO,MUNICIPIO,DÍA,ZONA,CLASE DE SITIO,CÓDIGO DANE,CLASE DE ARMA,PERMISO,CANTIDAD
,ATLÁNTICO,BARRANQUILLA (CT),Lunes,URBANA,VIAS PUBLICAS,"8,001,000",REVOLVER,SIN PERMISO,1
,ATLÁNTICO,BARRANQUILLA (CT),Lunes,URBANA,VIAS PUBLICAS,"8,001,000",PISTOLA,SIN PERMISO,1
,ATLÁNTICO,BARRANQUILLA (CT),Lunes,URBANA,VIAS PUBLICAS,"8,001,000",PISTOLA,SIN PERMISO,1
,ATLÁNTICO,BARRANQUILLA (CT),Lunes,URBANA,VIAS PUBLICAS,"8,001,000",PISTOLA,SIN PERMISO,1
,ATLÁNTICO,SABANAGRANDE,Lunes,RURAL,VIAS PUBLICAS,"8,634,000",PISTOLA,SIN PERMISO,1
,BOLÍVAR,CARTAGENA (CT),Lunes,URBANA,VIAS PUBLICAS,"13,001,000",REVOLVER,SIN PERMISO,1
,BOLÍVAR,MAGANGUÉ,Lunes,RURAL,VIAS PUBLICAS,"13,430,000",ESCOPETA,SIN PERMISO,1
,BOLÍVAR,MONTECRISTO,Lunes,URBANA,VIAS PUBLICAS,"13,458,000",ESCOPETA,SIN PERMISO,1
,BOLÍVAR,MONTECRISTO,Lunes,URBANA,SELVA,"13,458,000",ESCOPETA,SIN PERMISO,1
,BOYACÁ,RÁQUIRA,Lunes,URBANA,INSTALACIONES DE LA POLICIA,"15,600,000",ESCOPETA DE FISTO,SIN PERMISO,1
,BOYACÁ,TOTA,Lunes,URBANA,VIAS PUBLICAS,"15,822,000",REVOLVER,SIN PERMISO,1
,CALDAS,MANIZALES (CT),Lunes,URBANA,VIAS PUBLICAS,"17,001,000",REVOLVER,SIN PERMISO,1
,CALDAS,PALESTINA,Lunes,RURAL,VIAS PUBLICAS,"17,524,000",ESCOPETA,SIN PERMISO,1
